name	ensembl_id	gene_name	synonyms
cyclin dependent kinase 5 regulatory subunit 1	ENSG00000176749	CDK5R1	CDK5R1,P35NCK5A,NCK5A,P35
protocadherin beta 15	ENSG00000113248	PCDHB15	PCDHB15,PCDH-BETA15
PR/SET domain 2	ENSG00000116731	PRDM2	PRDM2,RIZ,RIZ1,RIZ2,KMT8,MTB-ZF,HUMHOXY1,KMT8A
MN1 proto-oncogene, transcriptional regulator	ENSG00000169184	MN1	MN1,MGCR,MGCR1-PEN,MGCR1
kallikrein related peptidase 4	ENSG00000167749	KLK4	KLK4,PRSS17,EMSP,EMSP1,PSTS,KLK-L1
paired related homeobox 2	ENSG00000167157	PRRX2	PRRX2,PRX2,PMX2
transforming growth factor beta 3	ENSG00000119699	TGFB3	TGFB3,ARVD1,ARVD
SMAD family member 3	ENSG00000166949	SMAD3	SMAD3,MADH3,JV15-2,HST17436
nuclear pore associated protein 1	ENSG00000185823	NPAP1	NPAP1,C15ORF2
transmembrane protein 86A	ENSG00000151117	TMEM86A	TMEM86A,FLJ90119
DnaJ heat shock protein family (Hsp40) member C6	ENSG00000116675	DNAJC6	DNAJC6,KIAA0473,PARK19
fibromodulin	ENSG00000122176	FMOD	FMOD,SLRR2E
dymeclin	ENSG00000141627	DYM	DYM,FLJ20071,DMC,SMC
homeobox D13	ENSG00000128714	HOXD13	HOXD13,HOX4I,SPD
trefoil factor 1	ENSG00000160182	TFF1	TFF1,BCEI,D21S21,HPS2,PS2,PNR-2,HP1.A
solute carrier family 19 member 1	ENSG00000173638	SLC19A1	SLC19A1,FOLT,RFC1
regulator of G protein signaling 3	ENSG00000138835	RGS3	RGS3,C2PA,FLJ20370,PDZ-RGS3
interleukin 17A	ENSG00000112115	IL17A	IL17A,CTLA8,IL17,IL-17A,IL-17
beta-2-microglobulin	ENSG00000166710	B2M	B2M
ribosomal protein L10	ENSG00000147403	RPL10	RPL10,NOV,QM,DXS648E,DXS648,FLJ23544,L10
RAP1B, member of RAS oncogene family	ENSG00000127314	RAP1B	RAP1B,K-REV,RAL1B,DKFZP586H0723
mastermind like transcriptional coactivator 2	ENSG00000184384	MAML2	MAML2,KIAA1819,MAM3
karyopherin subunit alpha 5	ENSG00000196911	KPNA5	KPNA5,SRP6,IPOA6
interleukin 22 receptor subunit alpha 1	ENSG00000142677	IL22RA1	IL22RA1,IL22R,CRF2-9
MLLT3, super elongation complex subunit	ENSG00000171843	MLLT3	MLLT3,AF-9,AF9,YEATS3
fibroblast growth factor 10	ENSG00000070193	FGF10	FGF10
ribonucleotide reductase catalytic subunit M1	ENSG00000167325	RRM1	RRM1
RNA component of mitochondrial RNA processing endoribonuclease	ENSG00000269900	RMRP	RMRP,CHH,RMRPR,RRP2,NME1
interleukin 21 receptor	ENSG00000103522	IL21R	IL21R,CD360
interferon related developmental regulator 2	ENSG00000214706	IFRD2	IFRD2,SKMC15,SM15,IFNRP
serine/threonine kinase 4	ENSG00000101109	STK4	STK4,MST1,KRS2,YSK3
microRNA let-7g	ENSG00000199150	MIRLET7G	MIRLET7G,MIRNLET7G,HSA-LET-7G
mitogen-activated protein kinase kinase 4	ENSG00000065559	MAP2K4	MAP2K4,SERK1,MEK4,JNKK1,PRKMK4,MKK4
heat shock protein 90 beta family member 1	ENSG00000166598	HSP90B1	HSP90B1,TRA1,GP96,GRP94
methionyl aminopeptidase 2	ENSG00000111142	METAP2	METAP2,MNPEP,P67,MAP2
PNMA family member 1	ENSG00000176903	PNMA1	PNMA1,MA1
SKI like proto-oncogene	ENSG00000136603	SKIL	SKIL,SNO,SNON,SNOA
aryl hydrocarbon receptor nuclear translocator	ENSG00000143437	ARNT	ARNT,HIF-1BETA,BHLHE2
ETS variant 5	ENSG00000244405	ETV5	ETV5,ERM
ASPSCR1, UBX domain containing tether for SLC2A4	ENSG00000169696	ASPSCR1	ASPSCR1,ASPS,ASPL,UBXD9,UBXN9,TUG
N-acetyltransferase 2	ENSG00000156006	NAT2	NAT2,AAC2
peroxisome proliferator activated receptor gamma	ENSG00000132170	PPARG	PPARG,PPARG1,PPARG2,NR1C3,PPARGAMMA
T cell leukemia homeobox 3	ENSG00000164438	TLX3	TLX3,HOX11L2,RNX
tripartite motif containing 27	ENSG00000204713	TRIM27	TRIM27,RFP,RNF76
platelet activating factor acetylhydrolase 1b catalytic subunit 2	ENSG00000168092	PAFAH1B2	PAFAH1B2
acyl-CoA synthetase long chain family member 3	ENSG00000123983	ACSL3	ACSL3,FACL3,ACS3,PRO2194
insulin like growth factor binding protein 5	ENSG00000115461	IGFBP5	IGFBP5
lysine acetyltransferase 5	ENSG00000172977	KAT5	KAT5,HTATIP,TIP60,PLIP,CPLA2,HTATIP1,ESA1,ZC2HC5
eukaryotic translation initiation factor 3 subunit C	ENSG00000184110	EIF3C	EIF3C,EIF3S8,EIF3-P110
snail family transcriptional repressor 1	ENSG00000124216	SNAI1	SNAI1,SNA,SLUGH2,SNAH,SNAIL1,SNAIL
chloride intracellular channel 4	ENSG00000169504	CLIC4	CLIC4,DKFZP566G223,CLIC4L,P64H1,H1,HUH1
cell division cycle 27	ENSG00000004897	CDC27	CDC27,D0S1430E,D17S978E,APC3,ANAPC3,NUC2
nuclear receptor binding SET domain protein 2	ENSG00000109685	NSD2	NSD2,WHSC1,MMSET,KMT3G
AT-rich interaction domain 1B	ENSG00000049618	ARID1B	ARID1B,KIAA1235,ELD/OSA1,P250R,BAF250B,DAN15,6A3-5
versican	ENSG00000038427	VCAN	VCAN,CSPG2,PG-M
A-kinase anchoring protein 12	ENSG00000131016	AKAP12	AKAP12,AKAP250,SSECKS
rearranged L-myc fusion	ENSG00000117000	RLF	RLF,ZNF292L,ZN-15L
radial spoke head 1 homolog	ENSG00000160188	RSPH1	RSPH1,TSGA2,FLJ32753,RSP44,RSPH10A,CILD24
SLAM family member 6	ENSG00000162739	SLAMF6	SLAMF6,KALI,NTBA,KALIB,LY108,SF2000,NTB-A,CD352
thrombospondin 3	ENSG00000169231	THBS3	THBS3
T cell leukemia/lymphoma 6 (non-protein coding)		TCL6	TCL6,TCL6E1,TNG2,TNG1
synaptopodin 2	ENSG00000172403	SYNPO2	SYNPO2,MYOPODIN
gephyrin	ENSG00000171723	GPHN	GPHN,KIAA1385
TNF superfamily member 13b	ENSG00000102524	TNFSF13B	TNFSF13B,TNFSF20,BAFF,THANK,BLYS,TALL-1,TALL1,CD257
mitogen-activated protein kinase 10	ENSG00000109339	MAPK10	MAPK10,PRKM10,JNK3,P493F12,P54BSAPK
MAM domain containing 4	ENSG00000177943	MAMDC4	MAMDC4,AEGP,DKFZP434M1411
IKAROS family zinc finger 1	ENSG00000185811	IKZF1	IKZF1,ZNFN1A1,HIK-1,LYF-1,HS.54452,IKAROS,PPP1R92
protein tyrosine phosphatase, non-receptor type 21	ENSG00000070778	PTPN21	PTPN21,PTPD1,PTPRL10
Jun dimerization protein 2	ENSG00000140044	JDP2	JDP2,JUNDM2
Wnt family member 6	ENSG00000115596	WNT6	WNT6
erythroid differentiation regulatory factor 1	ENSG00000107938	EDRF1	EDRF1,C10ORF137,DKFZP586F1019,FLJ21617
LHFPL tetraspan subfamily member 6	ENSG00000183722	LHFPL6	LHFPL6,LHFP,MGC22429
glycoprotein A33	ENSG00000143167	GPA33	GPA33,A33
ras homolog family member C	ENSG00000155366	RHOC	RHOC,ARH9,ARHC
RAS like proto-oncogene B	ENSG00000144118	RALB	RALB
RAS related 2	ENSG00000133818	RRAS2	RRAS2,TC21
septin 5	ENSG00000184702	SEPTIN5	SEPTIN5,PNUTL1,HCDCREL-1,H5
TNF receptor superfamily member 11b	ENSG00000164761	TNFRSF11B	TNFRSF11B,OPG,OCIF,TR1
keratin 26	ENSG00000186393	KRT26	KRT26,KRT25B
insulin like growth factor binding protein 2	ENSG00000115457	IGFBP2	IGFBP2,IBP2
malic enzyme 3	ENSG00000151376	ME3	ME3
macrophage migration inhibitory factor	ENSG00000240972	MIF	MIF,GLIF,GIF
kinesin family member 14	ENSG00000118193	KIF14	KIF14,KIAA0042
PBX homeobox 2	ENSG00000204304	PBX2	PBX2,G17,HOX12,PBX2MHC
BMI1 proto-oncogene, polycomb ring finger	ENSG00000168283	BMI1	BMI1,PCGF4,RNF51
PMS1 homolog 1, mismatch repair system component	ENSG00000064933	PMS1	PMS1,PMSL1,MLH2
T cell leukemia/lymphoma 1B	ENSG00000213231	TCL1B	TCL1B,TML1
interleukin 17 receptor B	ENSG00000056736	IL17RB	IL17RB,IL17BR,IL17RH1,EVI27,CRL4
CCHC-type zinc finger nucleic acid binding protein	ENSG00000169714	CNBP	CNBP,DM2,ZNF9,RNF163,ZCCHC22,CNBP1
gamma-glutamyl hydrolase	ENSG00000137563	GGH	GGH
fibroblast growth factor receptor 2	ENSG00000066468	FGFR2	FGFR2,KGFR,BEK,CFD1,JWS,CEK3,TK14,TK25,ECT1,K-SAM,CD332
non-SMC condensin I complex subunit D2	ENSG00000010292	NCAPD2	NCAPD2,CNAP1,HCAP-D2,CAP-D2,KIAA0159
MYB proto-oncogene, transcription factor	ENSG00000118513	MYB	MYB,C-MYB
pancreatic and duodenal homeobox 1	ENSG00000139515	PDX1	PDX1,IPF1,IDX-1,STF-1,PDX-1,MODY4
zinc finger and BTB domain containing 33	ENSG00000177485	ZBTB33	ZBTB33,ZNF-KAISO,KAISO,WUGSC:H_DJ525N14.1,ZNF348
zinc finger MYM-type containing 2	ENSG00000121741	ZMYM2	ZMYM2,ZNF198,RAMP,FIM,MYM
microtubule associated scaffold protein 1	ENSG00000129422	MTUS1	MTUS1,MTSG1,KIAA1288,DKFZP586D1519,FLJ14295,ATIP1,MP44,ATBP,ICIS,ATIP3
KIT proto-oncogene receptor tyrosine kinase	ENSG00000157404	KIT	KIT,PBT,CD117,SCFR,C-KIT
ADP ribosylation factor 6	ENSG00000165527	ARF6	ARF6
signal transducer and activator of transcription 6	ENSG00000166888	STAT6	STAT6,D12S1644,IL-4-STAT
Kruppel like factor 5	ENSG00000102554	KLF5	KLF5,BTEB2,IKLF,CKLF
pleckstrin homology domain interacting protein	ENSG00000146247	PHIP	PHIP,WDR11,NDRP,FLJ20705,DCAF14,BRWD2
mindbomb E3 ubiquitin protein ligase 2	ENSG00000197530	MIB2	MIB2,ZZANK1,SKELETROPHIN,ZZZ5,FLJ39787
selectin E	ENSG00000007908	SELE	SELE,ELAM1,ELAM,ESEL,CD62E
rhomboid 5 homolog 2	ENSG00000129667	RHBDF2	RHBDF2,RHBDL6,TOC,FLJ22341,RHBDL5,TOCG,IRHOM2
disrupted in renal carcinoma 2	ENSG00000138463	SLC49A4	DIRC2,SLC49A4,RCC4
thrombopoietin	ENSG00000090534	THPO	THPO,MGDF,TPO,MPLLG
E2F transcription factor 4	ENSG00000205250	E2F4	E2F4,E2F-4
zinc finger protein 668	ENSG00000167394	ZNF668	ZNF668,FLJ13479
chromobox 4	ENSG00000141582	CBX4	CBX4,HPC2,PC2,NBP16
golgi associated PDZ and coiled-coil motif containing	ENSG00000047932	GOPC	GOPC,DJ94G16.2,PIST,FIG,GOPC1,CAL
zinc finger FYVE-type containing 26	ENSG00000072121	ZFYVE26	ZFYVE26,SPG15,KIAA0321
ZFP36 ring finger protein	ENSG00000128016	ZFP36	ZFP36,RNF162A,TIS11,G0S24,TTP,NUP475
RB transcriptional corepressor like 2	ENSG00000103479	RBL2	RBL2,RB2,P130
AKT serine/threonine kinase 2	ENSG00000105221	AKT2	AKT2
cyclin dependent kinase 1	ENSG00000170312	CDK1	CDK1,CDC2,CDC28A
sodium/potassium transporting ATPase interacting 2	ENSG00000188580	NKAIN2	NKAIN2,TCBA1,FAM77B
N-acetyltransferase 1	ENSG00000171428	NAT1	NAT1,AAC1
solute carrier family 16 member 3	ENSG00000141526	SLC16A3	SLC16A3,MCT3,MCT4
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	ENSG00000127616	SMARCA4	SMARCA4,SNF2L4,HSNF2B,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786
coronin 1A	ENSG00000102879	CORO1A	CORO1A,HCORO1,P57,CORONIN-1
ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	ENSG00000114767	RRP9	RRP9,RNU3IP2,U3-55K
PTTG1 interacting protein	ENSG00000183255	PTTG1IP	PTTG1IP,C21ORF3,C21ORF1,PBF
fms related tyrosine kinase 1	ENSG00000102755	FLT1	FLT1,FLT,VEGFR1
reticulon 4	ENSG00000115310	RTN4	RTN4,NSP-CL,KIAA0886,NOGO,ASY
kinectin 1	ENSG00000126777	KTN1	KTN1,KIAA0004,CG1,KNT
caspase 9	ENSG00000132906	CASP9	CASP9,MCH6,ICE-LAP6,APAF-3,PPP1R56
snail family transcriptional repressor 2	ENSG00000019549	SNAI2	SNAI2,SLUG,SLUGH1,SNAIL2,SLUGH
mitogen-activated protein kinase kinase kinase 1	ENSG00000095015	MAP3K1	MAP3K1,MEKK1,MEKK,MAPKKK1
interleukin 1 beta	ENSG00000125538	IL1B	IL1B,IL1F2,IL-1B,IL1-BETA
COX19, cytochrome c oxidase assembly factor	ENSG00000240230	COX19	COX19,MGC104475
capping actin protein, gelsolin like	ENSG00000042493	CAPG	CAPG,AFCP,MCP
GLI family zinc finger 3	ENSG00000106571	GLI3	GLI3,GCPS,PHS,PAP-A,PAPA,PAPA1,PAPB,ACLS,PPDIV
galactosidase beta 1	ENSG00000170266	GLB1	GLB1,ELNR1,EBP
platelet and endothelial cell adhesion molecule 1	ENSG00000261371	PECAM1	PECAM1,CD31
cell division cycle 25B	ENSG00000101224	CDC25B	CDC25B
coiled-coil domain containing 6	ENSG00000108091	CCDC6	CCDC6,TST1,D10S170,PTC,TPC,H4
estrogen related receptor gamma	ENSG00000196482	ESRRG	ESRRG,NR3B3,ERRG,ERR-GAMMA
KIAA1147	ENSG00000257093	DENND11	KIAA1147,DENND11
mucin 17, cell surface associated	ENSG00000169876	MUC17	MUC17
interleukin 6 signal transducer	ENSG00000134352	IL6ST	IL6ST,GP130,CD130
CBFA2/RUNX1 translocation partner 3	ENSG00000129993	CBFA2T3	CBFA2T3,MTGR2,ZMYND4,MTG16,RUNX1T3,ETO2
mitogen-activated protein kinase kinase kinase 6	ENSG00000142733	MAP3K6	MAP3K6,MAPKKK6,ASK2,MEKK6
growth factor independent 1 transcriptional repressor	ENSG00000162676	GFI1	GFI1,ZNF163,GFI1A,GFI-1
apoptosis inducing factor mitochondria associated 1	ENSG00000156709	AIFM1	AIFM1,PDCD8,NAMSD,AIF,CMTX4
transforming acidic coiled-coil containing protein 3	ENSG00000013810	TACC3	TACC3,ERIC1
protein S	ENSG00000184500	PROS1	PROS1,PROS
cyclin dependent kinase inhibitor 2A	ENSG00000147889	CDKN2A	CDKN2A,CDKN2,MLM,CDK4I,P16,INK4A,MTS1,CMM2,ARF,P19,P14,INK4,P16INK4A,P19ARF,P14ARF
TNF receptor superfamily member 8	ENSG00000120949	TNFRSF8	TNFRSF8,CD30,D1S166E,KI-1
PHD finger protein 20	ENSG00000025293	PHF20	PHF20,C20ORF104,DJ1121G12.1,TDRD20A
prosaposin	ENSG00000197746	PSAP	PSAP,SAP1,GLBA
EGF like domain multiple 6	ENSG00000198759	EGFL6	EGFL6,MAEG
solute carrier family 38 member 1	ENSG00000111371	SLC38A1	SLC38A1,ATA1,NAT2,SAT1
pseudouridylate synthase 10	ENSG00000162927	PUS10	PUS10,CCDC139,FLJ32312
bromodomain containing 2	ENSG00000204256	BRD2	BRD2,BRD2-IT1,KIAA9001,RING3,D6S113E,NAT,FSRG1
transcription factor AP-2 alpha	ENSG00000137203	TFAP2A	TFAP2A,TFAP2,AP2TF,AP-2
zinc finger CCCH-type containing 8	ENSG00000144161	ZC3H8	ZC3H8,ZC3HDC8,FLIZ1
trio Rho guanine nucleotide exchange factor	ENSG00000038382	TRIO	TRIO,ARHGEF23
Mix paired-like homeobox	ENSG00000185155	MIXL1	MIXL1,MILD1,MIXL
nuclear receptor binding SET domain protein 1	ENSG00000165671	NSD1	NSD1,STO,ARA267,FLJ22263,KMT3B
E74 like ETS transcription factor 4	ENSG00000102034	ELF4	ELF4,MEF,ELFR
ankyrin repeat domain 44	ENSG00000065413	ANKRD44	ANKRD44,PP6-ARS-B
eukaryotic translation initiation factor 1B	ENSG00000114784	EIF1B	EIF1B,GC20
mitotic arrest deficient 2 like 1	ENSG00000164109	MAD2L1	MAD2L1,MAD2,HSMAD2
RAB8A, member RAS oncogene family	ENSG00000167461	RAB8A	RAB8A,MEL,RAB8
HtrA serine peptidase 1	ENSG00000166033	HTRA1	HTRA1,PRSS11,HTRA,IGFBP5-PROTEASE,ARMD7
inhibin subunit beta E	ENSG00000139269	INHBE	INHBE,ACTIVIN,MGC4638
adducin 3	ENSG00000148700	ADD3	ADD3,ADDL
CCAAT enhancer binding protein beta	ENSG00000172216	CEBPB	CEBPB,TCF5,LAP,CRP2,NFIL6,IL6DBP,C/EBP-BETA
integrin subunit beta 4	ENSG00000132470	ITGB4	ITGB4,CD104
eukaryotic translation initiation factor 3 subunit I	ENSG00000084623	EIF3I	EIF3I,EIF3S2,TRIP-1,EIF3-BETA,EIF3-P36
NDRG family member 2	ENSG00000165795	NDRG2	NDRG2,KIAA1248,SYLD
AF4/FMR2 family member 4	ENSG00000072364	AFF4	AFF4,AF5Q31,MCEF
vesicle associated membrane protein 8	ENSG00000118640	VAMP8	VAMP8,EDB
CD79a molecule	ENSG00000105369	CD79A	CD79A,IGA,MB-1
myocyte enhancer factor 2B	ENSG00000213999	MEF2B	MEF2B,RSRFR2
eukaryotic translation initiation factor 4 gamma 1	ENSG00000114867	EIF4G1	EIF4G1,EIF4G,EIF4F,P220,PARK18
AT-rich interaction domain 4A	ENSG00000032219	ARID4A	ARID4A,RBBP1,RBP1,RBP-1
HIV-1 Tat interactive protein 2	ENSG00000109854	HTATIP2	HTATIP2,TIP30,CC3,FLJ26963,SDR44U1
MLLT1, super elongation complex subunit	ENSG00000130382	MLLT1	MLLT1,ENL,LTG19,YEATS1
Rho related BTB domain containing 1	ENSG00000072422	RHOBTB1	RHOBTB1,KIAA0740
DNA topoisomerase II alpha	ENSG00000131747	TOP2A	TOP2A,TOP2
protein tyrosine phosphatase, receptor type D	ENSG00000153707	PTPRD	PTPRD,PTPD,HPTP
ubiquinol-cytochrome c reductase core protein 2	ENSG00000140740	UQCRC2	UQCRC2,QCR2,UQCR2
dopey family member 2	ENSG00000142197	DOP1B	DOPEY2,DOP1B,KIAA0933
fibroblast growth factor 1	ENSG00000113578	FGF1	FGF1,FGFA,AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-BETA,FGF-ALPHA,GLIO703
G protein-coupled receptor 68	ENSG00000119714	GPR68	GPR68,OGR1
ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ENSG00000070526	ST6GALNAC1	ST6GALNAC1,SIAT7A,ST6GALNACI
3-hydroxy-3-methylglutaryl-CoA reductase	ENSG00000113161	HMGCR	HMGCR
zinc finger and BTB domain containing 16	ENSG00000109906	ZBTB16	ZBTB16,ZNF145,PLZF
coactosin like F-actin binding protein 1	ENSG00000103187	COTL1	COTL1,CLP
bromodomain containing 4	ENSG00000141867	BRD4	BRD4,HUNKI,MCAP,CAP,HUNK1
matrix metallopeptidase 2	ENSG00000087245	MMP2	MMP2,CLG4,CLG4A,TBE-1
crumbs 2, cell polarity complex component	ENSG00000148204	CRB2	CRB2,FLJ38464,FLJ16786
T cell receptor gamma locus		TRGC1	TRGC1,TCRG,TRG@
astrotactin 2	ENSG00000148219	ASTN2	ASTN2,KIAA0634
kelch like ECH associated protein 1	ENSG00000079999	KEAP1	KEAP1,KIAA0132,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,INRF2,KLHL19
TIMP metallopeptidase inhibitor 2	ENSG00000035862	TIMP2	TIMP2,CSC-21K
peptide YY	ENSG00000131096	PYY	PYY,PYY1
erb-b2 receptor tyrosine kinase 4	ENSG00000178568	ERBB4	ERBB4,ALS19,HER4
ubiquitin specific peptidase 24	ENSG00000162402	USP24	USP24,KIAA1057
SH3 domain binding protein 2	ENSG00000087266	SH3BP2	SH3BP2,RES4-23,CRBM
glycogen synthase kinase 3 beta	ENSG00000082701	GSK3B	GSK3B
ras homolog family member H	ENSG00000168421	RHOH	RHOH,ARHH,TTF
RecQ like helicase 5	ENSG00000108469	RECQL5	RECQL5,RECQ5,FLJ90603
nuclear receptor corepressor 1	ENSG00000141027	NCOR1	NCOR1,N-COR,HCIT529I10,TRAC1,HN-COR,KIAA1047,MGC104216,PPP1R109
RuvB like AAA ATPase 1	ENSG00000175792	RUVBL1	RUVBL1,TIP49,NMP238,RVB1,TIP49A,PONTIN52,ECP54,TIH1,INO80H
LRR binding FLII interacting protein 1	ENSG00000124831	LRRFIP1	LRRFIP1,FLAP-1,FLIIAP1,TRIP,GCF-2,HUFI-1
dickkopf WNT signaling pathway inhibitor 1	ENSG00000107984	DKK1	DKK1,SK,DKK-1
splicing factor 3b subunit 1	ENSG00000115524	SF3B1	SF3B1,SAP155,SF3B155,PRPF10,PRP10,HSH155
notch 4	ENSG00000204301	NOTCH4	NOTCH4,INT3
SSX family member 2	ENSG00000241476	SSX2	SSX2,SSX,HOM-MEL-40,HD21,MGC3884,MGC15364,MGC119055,CT5.2A
Fanconi anemia complementation group E	ENSG00000112039	FANCE	FANCE,FACE,FAE
MAF bZIP transcription factor B	ENSG00000204103	MAFB	MAFB,KRML
pro-apoptotic WT1 regulator	ENSG00000177425	PAWR	PAWR,PAR-4,PAR4
RAD51 paralog D	ENSG00000185379	RAD51D	RAD51D,RAD51L3,R51H3,TRAD,HSTRAD
mutated in colorectal cancers	ENSG00000171444	MCC	MCC
BCL2 associated X, apoptosis regulator	ENSG00000087088	BAX	BAX,BCL2L4
colony stimulating factor 1 receptor	ENSG00000182578	CSF1R	CSF1R,FMS,C-FMS,CSFR,CD115
lymphotoxin alpha	ENSG00000226979	LTA	LTA,TNFB,TNFSF1,LT
neuraminidase 3	ENSG00000162139	NEU3	NEU3
X-ray repair cross complementing 6	ENSG00000196419	XRCC6	XRCC6,G22P1,D22S731,D22S671,KU70,ML8
ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSG00000072818	ACAP1	ACAP1,CENTB1,KIAA0050
MET proto-oncogene, receptor tyrosine kinase	ENSG00000105976	MET	MET,HGFR,RCCP2,DFNB97
synapse defective Rho GTPase homolog 1	ENSG00000105137	SYDE1	SYDE1,7H3,FLJ13511,SYD1
glycoprotein, alpha-galactosyltransferase 1 pseudogene	ENSG00000204136	GGTA1	GGTA1P,GLYT2,GGTA,GGTA1
tenascin R	ENSG00000116147	TNR	TNR
Wnt family member 3	ENSG00000108379	WNT3	WNT3,INT4,MGC131950,MGC138321,MGC138323
collagen type XVI alpha 1 chain	ENSG00000084636	COL16A1	COL16A1
transforming growth factor beta receptor 2	ENSG00000163513	TGFBR2	TGFBR2,MFS2,TBRII,TBR-II
lysyl oxidase like 4	ENSG00000138131	LOXL4	LOXL4,FLJ21889,LOXC
parvin beta	ENSG00000188677	PARVB	PARVB,CGI-56
C-X-C motif chemokine ligand 3	ENSG00000163734	CXCL3	CXCL3,GRO3,SCYB3,GROG,MIP-2B,CINC-2B
RAS guanyl releasing protein 1	ENSG00000172575	RASGRP1	RASGRP1,CALDAG-GEFII,RASGRP
cyclin and CBS domain divalent metal cation transport mediator 4	ENSG00000158158	CNNM4	CNNM4,ACDP4,KIAA1592
MAS1 proto-oncogene, G protein-coupled receptor	ENSG00000130368	MAS1	MAS1
egl-9 family hypoxia inducible factor 1	ENSG00000135766	EGLN1	EGLN1,C1ORF12,SM-20,PHD2,ZMYND6,HIFPH2
block of proliferation 1	ENSG00000261236	BOP1	BOP1,KIAA0124
hyaluronan and proteoglycan link protein 1	ENSG00000145681	HAPLN1	HAPLN1,CRTL1
ADAM metallopeptidase with thrombospondin type 1 motif 1	ENSG00000154734	ADAMTS1	ADAMTS1,C3-C5,METH1,KIAA1346
JunB proto-oncogene, AP-1 transcription factor subunit	ENSG00000171223	JUNB	JUNB
disco interacting protein 2 homolog C	ENSG00000151240	DIP2C	DIP2C,KIAA0934
mesencephalic astrocyte derived neurotrophic factor	ENSG00000145050	MANF	MANF,ARMET,ARP
E2F transcription factor 6	ENSG00000169016	E2F6	E2F6,E2F-6
NCK adaptor protein 1	ENSG00000158092	NCK1	NCK1,NCK,NCKALPHA
interleukin 2 receptor subunit beta	ENSG00000100385	IL2RB	IL2RB,IL15RB,CD122
tetraspanin 1	ENSG00000117472	TSPAN1	TSPAN1,TSPAN-1,NET-1
growth differentiation factor 15	ENSG00000130513	GDF15	GDF15,PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB
cyclin dependent kinase inhibitor 1B	ENSG00000111276	CDKN1B	CDKN1B,KIP1,P27KIP1
phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	ENSG00000171608	PIK3CD	PIK3CD,P110D
death associated protein kinase 1	ENSG00000196730	DAPK1	DAPK1,DAPK,ROCO3
erythropoietin receptor	ENSG00000187266	EPOR	EPOR
transferrin receptor	ENSG00000072274	TFRC	TFRC,CD71,TFR1,P90
DNA damage inducible transcript 3	ENSG00000175197	DDIT3	DDIT3,CHOP10,GADD153,CHOP
ELK3, ETS transcription factor	ENSG00000111145	ELK3	ELK3,ERP,NET,SAP2
cyclin dependent kinase 5	ENSG00000164885	CDK5	CDK5,PSSALRE
melanogenesis associated transcription factor	ENSG00000187098	MITF	MITF,WS2A,WS2,MI,BHLHE32
MYC proto-oncogene, bHLH transcription factor	ENSG00000136997	MYC	MYC,C-MYC,BHLHE39,MYCC
serine and arginine rich splicing factor 3	ENSG00000112081	SRSF3	SRSF3,SFRS3,SRP20
solute carrier family 5 member 8	ENSG00000256870	SLC5A8	SLC5A8,AIT
B cell CLL/lymphoma 3	ENSG00000069399	BCL3	BCL3,D19S37,BCL4
CD274 molecule	ENSG00000120217	CD274	CD274,PDCD1LG1,B7-H,B7H1,PD-L1,PDL1,B7-H1
LPS responsive beige-like anchor protein	ENSG00000198589	LRBA	LRBA,CDC4L,BGL,LAB300,LBA
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	ENSG00000108953	YWHAE	YWHAE,FLJ45465
cyclin H	ENSG00000134480	CCNH	CCNH,P34,P37,CYCH
LIM domain only 1	ENSG00000166407	LMO1	LMO1,RBTN1,TTG1,RHOM1
latent transforming growth factor beta binding protein 3	ENSG00000168056	LTBP3	LTBP3,LTBP2
STIL, centriolar assembly protein	ENSG00000123473	STIL	STIL,SIL,MCPH7
EPH receptor A3	ENSG00000044524	EPHA3	EPHA3,ETK,ETK1,TYRO4,HEK,HEK4
Fas apoptotic inhibitory molecule	ENSG00000158234	FAIM	FAIM,FLJ10582,FAIM1
forkhead box L2	ENSG00000183770	FOXL2	FOXL2,BPES,BPES1
zinc finger and BTB domain containing 48	ENSG00000204859	ZBTB48	ZBTB48,HKR3,ZNF855,TZAP
immunoglobulin lambda locus	ENSG00000128322	IGLL1	IGLL1,IGL@
ring finger and CHY zinc finger domain containing 1	ENSG00000163743	RCHY1	RCHY1,ZNF363,CHIMP,DKFZP586C1620,PRO1996,RNF199,ARNIP,PIRH2,ZCHY
RNA binding motif protein 15	ENSG00000162775	RBM15	RBM15,OTT,OTT1
transient receptor potential cation channel subfamily V member 6	ENSG00000165125	TRPV6	TRPV6,ECAC2,CAT1
cytochrome P450 family 19 subfamily A member 1	ENSG00000137869	CYP19A1	CYP19A1,CYP19,ARO,P-450AROM,CPV1,ARO1,CYAR,AROMATASE
potassium voltage-gated channel subfamily Q member 5	ENSG00000185760	KCNQ5	KCNQ5,KV7.5
